Nom,Niveau,Chemin,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm,Matiere
"Tasseau vertical fond droite MG",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau vertical fond droite MG",227.59,159.91,3.54,1.5,1.5,25.5,"Texture Bois Plank"
"Tasseau vertical fond droite MG",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau vertical fond droite MG",196.09,159.91,3.54,1.5,1.5,25.5,"Texture Bois Plank"
"Tasseau horizontal arrière bas",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau horizontal arrière bas",196.09,159.91,3.54,33.0,1.5,1.5,""
"Tasseau horizontal avant bas",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau horizontal avant bas",196.09,107.29,3.54,33.0,1.5,1.5,""
"Tasseau horizontal avant haut MG",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau horizontal avant haut MG",196.09,107.41,30.54,33.0,1.5,1.5,""
"Tasseau horizontal arrière haut  MG",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau horizontal arrière haut  MG",194.59,159.91,30.54,31.5,1.5,1.5,""
"Jericanes",1,"🧊Meuble glacière / Jericanes",179.27,95.91,3.27,32.52,38.0,25.0,""
"Jerricane 2",2,"🧊Meuble glacière / Jericanes / Jerricane 2",210.86,110.23,16.4,16.0,38.0,25.0,""
"Jericane 1",2,"🧊Meuble glacière / Jericanes / Jericane 1",196.43,111.14,3.54,16.0,38.0,25.0,""
"Vis",1,"🧊Meuble glacière / Vis",194.73,105.84,6.35,35.71,57.14,44.49,""
"👣Sol",0,"👣Sol",-10.22,2.7,-0.36,252.01,165.6,2.4,""
"Sol partie latérale",1,"👣Sol / Sol partie latérale",103.78,2.7,0.54,138.01,165.6,1.2,"OSB3"
"Moquette",1,"👣Sol / Moquette",-10.22,2.7,2.04,252.01,165.6,0.3,"Matière8"
"Sol partie arrière",1,"👣Sol / Sol partie arrière",-10.22,3.3,-0.36,114.0,165.0,2.1,"OSB3"
"🧸Accessoires",0,"🧸Accessoires",3.09,88.3,6.77,226.21,80.0,60.27,""
"Glacière",1,"🧸Accessoires / Glacière",212.91,134.46,33.54,32.79,54.7,33.5,""
"Matela",1,"🧸Accessoires / Matela",3.09,88.3,41.54,190.0,80.0,8.0,""
"Boxio toilette",1,"🧸Accessoires / Boxio toilette",109.72,103.36,3.38,30.0,40.0,28.0,""
